Manga,Prediction 1,Prediction 2,Prediction 3
AisazuNihaIrarenai,YasasiiAkuma,Akuhamu,JijiBabaFight
AkkeraKanjinchou,KimiHaBokuNoTaiyouDa,YamatoNoHane,TasogareTsushin
Akuhamu,YouchienBoueigumi,OL_Lunch,MoeruOnisan_vol01
AosugiruHaru,ARMS,EvaLady,UchuKigekiM774
AppareKappore,YouchienBoueigumi,MoeruOnisan_vol19,PLANET7
Arisa,KoukouNoHitotachi,MomoyamaHaikagura,MiraiSan
ARMS,AosugiruHaru,EvaLady,UchuKigekiM774
BakuretsuKungFuGirl,YumeiroCooking,MagicianLoad,UchiNoNyan'sDiary
Belmondo,Ningyoushi,YouchienBoueigumi,Joouari
BEMADER_P,UchuKigekiM774,TasogareTsushin,ARMS
BokuHaSitatakaKun,YouchienBoueigumi,OL_Lunch,JangiriPonpon
BurariTessenTorimonocho,Belmondo,TotteokiNoABC,UchuKigekiM774
ByebyeC-BOY,MutekiBoukenSyakuma,MeteoSanStrikeDesu,RinToSiteSippuNoNaka
Count3DeKimeteAgeru,YukiNoFuruMachi,Belmondo,AppareKappore
DollGun,YouchienBoueigumi,OL_Lunch,TasogareTsushin
Donburakokko,TensiNoHaneToAkumaNoShippo,That'sIzumiko,HaruichibanNoFukukoro
DualJustice,YumeNoKayoiji,SaladDays_vol18,LoveHina_vol14
EienNoWith,GakuenNoise,HealingPlanet,TennenSenshiG
EvaLady,AosugiruHaru,ARMS,UchuKigekiM774
EverydayOsakanaChan,YouchienBoueigumi,OL_Lunch,PrayerHaNemurenai
GakuenNoise,PsychoStaff,Joouari,RisingGirl
GarakutayaManta,ToutaMairimasu,JijiBabaFight,AkkeraKanjinchou
GinNoChimera,GakuenNoise,That'sIzumiko,HighschoolKimengumi_vol01
GOOD_KISS_Ver2,LancelotFullThrottle,ByebyeC-BOY,HeiseiJimen
Hamlet,ByebyeC-BOY,JijiBabaFight,MutekiBoukenSyakuma
HanzaiKousyouninMinegishiEitarou,RinToSiteSippuNoNaka,UnbalanceTokyo,ReveryEarth
HaruichibanNoFukukoro,PsychoStaff,SamayoeruSyonenNiJunaiWo,Donburakokko
HarukaRefrain,YouchienBoueigumi,OL_Lunch,AkkeraKanjinchou
HealingPlanet,AosugiruHaru,MayaNoAkaiKutsu,PLANET7
HeiseiJimen,OL_Lunch,MomoyamaHaikagura,AppareKappore
HighschoolKimengumi_vol01,Raphael,That'sIzumiko,LoveHina_vol14
HighschoolKimengumi_vol20,YouchienBoueigumi,OL_Lunch,TasogareTsushin
HinagikuKenzan,GakuenNoise,AkkeraKanjinchou,YumeNoKayoiji
HisokaReturns,YouchienBoueigumi,ToutaMairimasu,BEMADER_P
JangiriPonpon,MutekiBoukenSyakuma,MomoyamaHaikagura,ToutaMairimasu
JijiBabaFight,RinToSiteSippuNoNaka,OL_Lunch,AppareKappore
Joouari,GakuenNoise,EienNoWith,Donburakokko
Jyovolley,TensiNoHaneToAkumaNoShippo,MadouTaiga,UchuKigekiM774
KarappoHighschool,MomoyamaHaikagura,TaiyouNiSmash,SyabondamaKieta
KimiHaBokuNoTaiyouDa,MagicStarGakuin,MutekiBoukenSyakuma,RinToSiteSippuNoNaka
KoukouNoHitotachi,GOOD_KISS_Ver2,KimiHaBokuNoTaiyouDa,MutekiBoukenSyakuma
KuroidoGanka,YumeNoKayoiji,MomoyamaHaikagura,UchiNoNyan'sDiary
KyokugenCyclone,SamayoeruSyonenNiJunaiWo,Ningyoushi,YamatoNoHane
LancelotFullThrottle,MagicStarGakuin,MutekiBoukenSyakuma,Raphael
LoveHina_vol01,MomoyamaHaikagura,TaiyouNiSmash,ToutaMairimasu
LoveHina_vol14,SeisinkiVulnus,MadouTaiga,Nekodama
MadouTaiga,PsychoStaff,Ningyoushi,MomoyamaHaikagura
MAD_STONE,YumeNoKayoiji,MeteoSanStrikeDesu,UchiNoNyan'sDiary
MagicianLoad,ShimatteIkouze_vol26,MAD_STONE,ToutaMairimasu
MagicStarGakuin,RinToSiteSippuNoNaka,Ningyoushi,PsychoStaff
MariaSamaNihaNaisyo,ShimatteIkouze_vol01,BokuHaSitatakaKun,TouyouKidan
MayaNoAkaiKutsu,MemorySeijin,PLANET7,HealingPlanet
MemorySeijin,HealingPlanet,MayaNoAkaiKutsu,EvaLady
MeteoSanStrikeDesu,SamayoeruSyonenNiJunaiWo,Ningyoushi,HaruichibanNoFukukoro
MiraiSan,YouchienBoueigumi,OL_Lunch,AppareKappore
MisutenaideDaisy,KoukouNoHitotachi,MadouTaiga,TennenSenshiG
MoeruOnisan_vol01,OhWareraRettouSeitokai,MAD_STONE,TennenSenshiG
MoeruOnisan_vol19,HeiseiJimen,PikaruGenkiDesu,EverydayOsakanaChan
MomoyamaHaikagura,YamatoNoHane,SyabondamaKieta,ByebyeC-BOY
MukoukizuNoChonbo,MisutenaideDaisy,MoeruOnisan_vol01,MeteoSanStrikeDesu
MutekiBoukenSyakuma,EienNoWith,Joouari,Raphael
Nekodama,MagicStarGakuin,TennenSenshiG,Joouari
NichijouSoup,Hamlet,YamatoNoHane,TennenSenshiG
Ningyoushi,SamayoeruSyonenNiJunaiWo,MariaSamaNihaNaisyo,MutekiBoukenSyakuma
OhWareraRettouSeitokai,TouyouKidan,UchuKigekiM774,ARMS
OL_Lunch,OhWareraRettouSeitokai,MAD_STONE,MoeruOnisan_vol19
ParaisoRoad,TaiyouNiSmash,MAD_STONE,MiraiSan
PikaruGenkiDesu,ToutaMairimasu,MagicianLoad,EienNoWith
PLANET7,ReveryEarth,MariaSamaNihaNaisyo,Ningyoushi
PlatinumJungle,MemorySeijin,PikaruGenkiDesu,SaladDays_vol18
PrayerHaNemurenai,Donburakokko,SamayoeruSyonenNiJunaiWo,NichijouSoup
PrismHeart,AosugiruHaru,ARMS,MayaNoAkaiKutsu
PsychoStaff,PrismHeart,MAD_STONE,RisingGirl
Raphael,Joouari,MadouTaiga,SaladDays_vol18
ReveryEarth,SamayoeruSyonenNiJunaiWo,MAD_STONE,HaruichibanNoFukukoro
RinToSiteSippuNoNaka,MagicStarGakuin,Ningyoushi,PsychoStaff
RisingGirl,PlatinumJungle,MAD_STONE,PsychoStaff
Saisoku,TaiyouNiSmash,MAD_STONE,SyabondamaKieta
SaladDays_vol01,ReveryEarth,OL_Lunch,HaruichibanNoFukukoro
SaladDays_vol18,MemorySeijin,MayaNoAkaiKutsu,PlatinumJungle
SamayoeruSyonenNiJunaiWo,YumeNoKayoiji,Donburakokko,That'sIzumiko
SeisinkiVulnus,RinToSiteSippuNoNaka,MAD_STONE,Raphael
ShimatteIkouze_vol01,TouyouKidan,OL_Lunch,UchuKigekiM774
ShimatteIkouze_vol26,WarewareHaOniDearu,Akuhamu,UchiNoNyan'sDiary
SonokiDeABC,TouyouKidan,Ningyoushi,ByebyeC-BOY
SyabondamaKieta,TaiyouNiSmash,MAD_STONE,AkkeraKanjinchou
